Sampling Method,Transformation Method,Scaling Method,Dim Reduction Method,Model Name,Accuracy Train,Accuracy Test,F1 Train,F-beta Train,F1 Test,F-beta Test,ROC AUC Train,ROC AUC Test
none,none,minmax,none,gradboost,0.9591836734693876,0.8401360544217688,0.8554216867469879,0.7547015535568274,0.2769230769230769,0.1961441743503772,0.985710472936906,0.7917994659316048
none,none,minmax,none,histgradboost,1.0,0.8639455782312925,1.0,1.0,0.375,0.261744966442953,1.0,0.7835300198122147
none,none,minmax,none,ada,0.9056122448979592,0.8571428571428571,0.645367412140575,0.5388877488200288,0.3636363636363636,0.2613065326633166,0.9319686132166116,0.7502799552071668
none,none,minmax,none,catboost,0.9897959183673468,0.8571428571428571,0.967391304347826,0.9391233766233766,0.2758620689655172,0.1753794266441821,0.9999359453400236,0.8069601171504867
none,none,minmax,pca_95%,logreg,0.8869047619047619,0.8639455782312925,0.5232974910394266,0.3922297995453606,0.4285714285714285,0.3255425709515859,0.8488043130137717,0.8421052631578948
none,none,minmax,pca_95%,rf,1.0,0.8435374149659864,1.0,1.0,0.08,0.0441426146010186,1.0,0.8093720389353088
none,none,minmax,pca_95%,svc,0.9056122448979592,0.8537414965986394,0.587360594795539,0.4253468627044937,0.2711864406779661,0.1752316764953664,0.9606277356677698,0.8402101817555345
none,none,minmax,pca_95%,knn_5,0.8656462585034014,0.8469387755102041,0.3524590163934426,0.2327227310574521,0.1818181818181818,0.1098901098901098,0.8894736842105263,0.6418726849857869
none,none,minmax,pca_95%,xgboost,1.0,0.8503401360544217,1.0,1.0,0.3333333333333333,0.2395309882747068,1.0,0.7678525282108709
none,none,minmax,pca_95%,gradboost,0.9617346938775512,0.8503401360544217,0.8656716417910447,0.7701736465781409,0.2413793103448276,0.1534569983136593,0.9949129924201986,0.7943836678439142
none,none,minmax,pca_95%,histgradboost,1.0,0.8639455782312925,1.0,1.0,0.3548387096774194,0.2403361344537815,1.0,0.7548453785855802
none,none,minmax,pca_95%,ada,0.9064625850340136,0.8537414965986394,0.6540880503144654,0.5543255432554326,0.4415584415584415,0.366804979253112,0.9476459912458632,0.7774140752864157
none,none,minmax,pca_95%,catboost,0.9906462585034014,0.8571428571428571,0.9701897018970188,0.9442077500507202,0.25,0.1537162162162162,1.0,0.8048066155568956
none,none,minmax,lda_1,logreg,0.8971088435374149,0.8639455782312925,0.6032786885245902,0.4916752312435766,0.4594594594594595,0.367720465890183,0.8677217892601685,0.8080799379791542
none,none,minmax,lda_1,rf,1.0,0.8061224489795918,1.0,1.0,0.3870967741935484,0.3832923832923833,1.0,0.6751658196227066
none,none,minmax,lda_1,svc,0.8971088435374149,0.8639455782312925,0.6032786885245902,0.4916752312435766,0.4594594594594595,0.367720465890183,0.7479395751040889,0.5938495994487036
none,none,minmax,lda_1,knn_5,0.9081632653061223,0.8605442176870748,0.6625,0.5647540983606557,0.4533333333333333,0.3674147963424771,0.9360574356784456,0.689938840554742
none,none,minmax,lda_1,xgboost,0.9081632653061223,0.8605442176870748,0.6666666666666666,0.5749385749385749,0.4810126582278481,0.4092792046396023,0.9380804953560372,0.7713842708243605
none,none,minmax,lda_1,gradboost,0.9251700680272108,0.8537414965986394,0.7300613496932515,0.6332378223495702,0.4266666666666667,0.3458021612635079,0.9606197288352728,0.7650099061073306
none,none,minmax,lda_1,histgradboost,0.9039115646258504,0.8639455782312925,0.6412698412698413,0.5386666666666666,0.4736842105263157,0.388704318936877,0.937560051243728,0.746834352657421
none,none,minmax,lda_1,ada,0.91156462585034,0.8639455782312925,0.6687898089171974,0.5601148953631514,0.4736842105263157,0.388704318936877,0.8998879043450411,0.7886553536049616
none,none,minmax,lda_1,catboost,0.9039115646258504,0.8639455782312925,0.64576802507837,0.5488829678212749,0.4736842105263157,0.388704318936877,0.9098537418597205,0.7779309156688776
none,none,minmax,svd_32,logreg,0.8979591836734694,0.8775510204081632,0.5804195804195804,0.4453157243087082,0.5,0.39,0.8677057755951746,0.8294426737875785
none,none,minmax,svd_32,rf,1.0,0.8503401360544217,1.0,1.0,0.12,0.066213921901528,1.0,0.7632440348005859
none,none,minmax,svd_32,svc,0.8741496598639455,0.8639455782312925,0.3620689655172414,0.2278797996661102,0.3103448275862069,0.1973018549747049,0.9046759901782856,0.8482212076836938
none,none,minmax,svd_32,knn_5,0.8630952380952381,0.8469387755102041,0.3481781376518219,0.2325774911587268,0.1509433962264151,0.0880609652836579,0.8924682395644283,0.6783530019812215
none,none,minmax,svd_32,xgboost,1.0,0.8367346938775511,1.0,1.0,0.2258064516129032,0.1529411764705882,1.0,0.738995606856749
none,none,minmax,svd_32,gradboost,0.9685374149659864,0.8401360544217688,0.892128279883382,0.8113399959208648,0.2539682539682539,0.1746431570109152,0.9981477527490124,0.7124644672237058
none,none,minmax,svd_32,histgradboost,1.0,0.8537414965986394,1.0,1.0,0.3174603174603174,0.218303946263644,1.0,0.7385649065380309
none,none,minmax,svd_32,ada,0.9149659863945578,0.8435374149659864,0.6835443037974683,0.5758818703855619,0.3428571428571428,0.2604340567612688,0.9555300523113056,0.7711258506331296
none,none,minmax,svd_32,catboost,0.9948979591836736,0.8503401360544217,0.983957219251337,0.9695987028779894,0.2413793103448276,0.1534569983136593,1.0,0.750538375398398
none,none,robust,none,logreg,0.8988095238095238,0.8673469387755102,0.6020066889632107,0.481580572134184,0.4657534246575342,0.3680266444629475,0.8715810825237534,0.8219484882418814
none,none,robust,none,rf,1.0,0.8401360544217688,1.0,1.0,0.1454545454545454,0.0879120879120879,1.0,0.7589801016452752
none,none,robust,none,svc,0.9149659863945578,0.8537414965986394,0.647887323943662,0.4938067712634186,0.2711864406779661,0.1752316764953664,0.9491192484253228,0.8193642863295719
none,none,robust,none,knn_5,0.8690476190476191,0.8503401360544217,0.3790322580645161,0.2541597337770382,0.2413793103448276,0.1534569983136593,0.9133927618234228,0.6438539064518908
