Sampling Method,Transformation Method,Scaling Method,Dim Reduction Method,Model Name,Accuracy Train,Accuracy Test,F1 Train,F-beta Train,F1 Test,F-beta Test,ROC AUC Train,ROC AUC Test
none,yeo_johnson,standard,pca_21,rf,1.0,0.7847890214184943,1.0,1.0,0.6910898379970546,0.6579926653003991,1.0,0.8767250358717428
none,yeo_johnson,standard,pca_21,dt,1.0,0.7209183019109914,1.0,1.0,0.6214335421016005,0.623435905697868,1.0,0.7005103725112032
none,yeo_johnson,standard,pca_21,knn_5,0.8172274562584119,0.7165576503783506,0.7450483431897119,0.7319826051177275,0.6082949308755761,0.5998547957729435,0.8990978850763233,0.7735789113223337
none,yeo_johnson,standard,pca_21,xgboost,0.9211978465679677,0.7658073618058228,0.8916142169566826,0.887444016100686,0.6768141592920354,0.6682977979727368,0.9759507004288365,0.8405858829544953
none,yeo_johnson,standard,pca_21,gradboost,0.7645693135935397,0.7361805822752341,0.6648143712574849,0.6409228003737242,0.6244294321708964,0.599086413431609,0.8455957321049966,0.8161739516221276
none,yeo_johnson,minmax,none,logreg,0.7409825033647376,0.7338720020520713,0.630685089234312,0.6071839693029204,0.6248418007593564,0.6049524014703703,0.8209022966516657,0.8126942934767222
none,yeo_johnson,minmax,none,rf,1.0,0.7895344363216622,1.0,1.0,0.710530957840889,0.7037699079362947,1.0,0.878143661375278
none,yeo_johnson,minmax,none,dt,1.0,0.7347697832499679,1.0,1.0,0.6425855513307985,0.6485869944445934,1.0,0.7168023229147673
none,yeo_johnson,minmax,none,knn_5,0.8179676985195155,0.7215595741952033,0.7471017202692596,0.736737964880429,0.6130814471573695,0.6015037593984964,0.8999889820693212,0.7818876648203241
none,yeo_johnson,minmax,none,xgboost,0.8978465679676986,0.7605489290752854,0.8601437258153677,0.859778127258044,0.6747953318237241,0.6762087624367255,0.9619143762458493,0.8413948020797117
none,yeo_johnson,minmax,none,gradboost,0.767092866756393,0.7493907913299988,0.6830586080586081,0.686598974707565,0.663799036476256,0.6727745881847937,0.8486956248996425,0.8288557593541162
none,yeo_johnson,minmax,pca_21,logreg,0.7408815612382235,0.7333589842247018,0.6305234371251739,0.6070013749782383,0.6237104072398191,0.6032506968664575,0.8205765631466995,0.8122810747819665
none,yeo_johnson,minmax,pca_21,rf,1.0,0.7851737847890214,1.0,1.0,0.6956205705978558,0.6703215291154245,1.0,0.8769921628594111
none,yeo_johnson,minmax,pca_21,dt,1.0,0.7286135693215339,1.0,1.0,0.6366758241758241,0.6465128755364807,1.0,0.7115710152920645
none,yeo_johnson,minmax,pca_21,knn_5,0.8180349932705249,0.7220725920225728,0.7471715755025714,0.7367431898612088,0.6137943325610408,0.6022031823745411,0.9000495670169539,0.7820056211332413
none,yeo_johnson,minmax,pca_21,xgboost,0.9194818304172274,0.7627292548416057,0.8900528371238227,0.8918305410066543,0.676460300804477,0.6753700271308459,0.9742112286326128,0.8364293119986591
none,yeo_johnson,minmax,pca_21,gradboost,0.7667227456258412,0.7369501090162883,0.6734184370436667,0.6593978960066704,0.6344680092675103,0.622486448679839,0.8479110160162364,0.8174632958742116
none,yeo_johnson,robust,none,logreg,0.7432368775235532,0.7373348723868154,0.6361859356376638,0.6160424161283563,0.6320517427236796,0.6155150601598881,0.8229390025903757,0.8154991268472391
none,yeo_johnson,robust,none,rf,1.0,0.7919712710016673,1.0,1.0,0.7139329805996472,0.7072547912802731,1.0,0.8785022372416073
none,yeo_johnson,robust,none,dt,1.0,0.7355393099910222,1.0,1.0,0.6416405978449774,0.644328097731239,1.0,0.7164585756398307
